identifier;sportName;type;publisherName;publisherIdentifier;title;dateAccepted;number;status;url
2022-6/5.2/22;Грепплінг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з грепплінгу;04.08.2022;6/5.2/22;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/%D0%A2%D0%B5%D0%BD%D1%96%D1%81.pdf
2022-5/5.2/22;Армрестлінг;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з армрестлінгу;25.07.2022;5/5.2/22;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/%D0%A2%D1%85%D0%B5%D0%BA%D0%B2%D0%BE%D0%BD%D0%B4%D0%BE%20%D0%92%D0%A2%D0%A4.pdf
2022-4/4.6/22;Теніс;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з тенісу;14.02.2022;4/4.6/22;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/%D0%9A%D0%B0%D0%BD%D1%83%D0%BF%D0%BE%D0%BB%D0%BE.pdf
2022-3/4.3/22;Тхеквондо (ВТФ) (керугі);"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;"Правила спортивних змагань з тхеквондо (ВТФ) у розділі ""керугі""";08.02.2022;3/4.3/22;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/%D0%A1%D0%BF%D0%B0%D1%81.pdf
2022-2/5.2/22;Кануполо;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з кануполо;07.02.2022;2/5.2/22;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/%D0%A0%D0%B0%D0%B4%D1%96%D0%BE%D1%81%D0%BF%D0%BE%D1%80%D1%82.pdf
2022-1/5.3/22;Український рукопаш «Спас»;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з українського рукопашу «Спас»;31.01.2022;1/5.3/22;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/%D0%9A%D1%96%D0%BE%D0%BA%D1%83%D1%88%D0%B8%D0%BD%20%D0%B1%D1%83%D0%B4%D0%BE%20%D0%BA%D0%B0%D1%80%D0%B0%D1%82%D0%B5.pdf
2021-39/5.3/21;Радіоспорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила  спортивних  змагань з радіоспорту;28.12.2021;39/5.3/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%B1%D1%96%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9%20%D1%81%D0%BF%D0%BE%D1%80%D1%82.pdf
2021-38/5.3/21;Кіокушин будо карате;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила змагань з кіокушин будо карате;23.12.2021;38/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/frantsuzkiy-boks-savat.pdf
2021-37/5.3/21;Автомобільний спорт;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правил спортивних змагань з автомобільного спорту;22.12.2021;37/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/sportivna-akrobatika.pdf
2021-36/5.2/21;Французький бокс САВАТ;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з французького баксу САВАТ;13.12.2021;36/5.2/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/tenis-tabl.pdf
2021-35/5.2/21;Спортивна акробатика;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі спортивної акробатики;25.11.2021;35/5.2/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/skelelazinnya.pdf
2021-34/4.6/21;Теніс настільний;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з тенісу настільного;05.11.2021;34/4.6/21;Зі змінами;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2022/%D0%9A%D1%96%D0%B1%D0%B5%D1%80%D1%81%D0%BF%D0%BE%D1%80%D1%82_%D0%B7%D0%BC%D1%96%D0%BD%D0%B8.pdf
2021-13/4.3/21;Скелелазіння;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань зі скелелазіння ;02.11.2021;13/4.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/taekvon-do.pdf
2021-33/5.3/21;Кіберспорт (електронний спорт);"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних змагань з кіберспорту (електронного спорту);25.10.2021;33/5.3/21;Втратив чинність;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/equestrian-sports.pdf
2021-32/5.3/21;Таеквон-До;"З грифом ""Затверджено""";Міністерство молоді та спорту України;38649881;Правила спортивних  змагань з таеквон-До;20.10.2021;32/5.3/21;Чинний;https://mms.gov.ua/storage/app/sites/16/Sport/Pravyla_zmagan/2021/akvabayk.pdf
